iter	Passed	Remaining
0	5	1513
1	9	1370
2	35	3527
3	51	3781
4	185	10946
5	191	9380
6	196	8214
7	310	11342
8	316	10231
9	336	9772
10	346	9116
11	352	8460
12	449	9913
13	481	9844
14	487	9263
15	493	8752
16	510	8496
17	515	8070
18	559	8279
19	601	8415
20	700	9309
21	719	9088
22	729	8789
23	736	8466
24	750	8258
25	782	8247
26	786	7956
27	826	8028
28	936	8752
29	944	8497
30	950	8244
31	959	8032
32	1036	8389
33	1043	8160
34	1052	7970
35	1091	8006
36	1187	8442
37	1193	8228
38	1196	8010
39	1243	8082
40	1254	7924
41	1259	7738
42	1264	7556
43	1277	7434
44	1294	7337
45	1409	7783
46	1415	7618
47	1421	7460
48	1426	7308
49	1432	7163
50	1558	7610
51	1579	7533
52	1631	7605
53	1634	7447
54	1684	7501
55	1689	7362
56	1693	7219
57	1699	7090
58	1717	7014
59	1722	6889
60	1745	6838
61	1750	6717
62	1753	6597
63	1759	6487
64	1786	6460
65	1792	6354
66	1866	6491
67	1902	6489
68	1912	6403
69	1931	6345
70	2063	6656
71	2069	6553
72	2074	6452
73	2083	6362
74	2092	6278
75	2097	6182
76	2268	6570
77	2273	6471
78	2379	6656
79	2384	6558
80	2433	6578
81	2439	6484
82	2445	6392
83	2454	6312
84	2496	6315
85	2543	6329
86	2556	6259
87	2580	6215
88	2588	6136
89	2596	6058
90	2604	5981
91	2614	5910
92	2621	5834
93	2649	5806
94	2681	5786
95	2834	6022
96	2839	5943
97	2851	5877
98	2869	5826
99	2887	5774
100	2906	5726
101	2920	5668
102	2934	5612
103	2969	5596
104	2999	5571
105	3054	5590
106	3065	5528
107	3074	5465
108	3081	5399
109	3088	5334
110	3093	5267
111	3097	5200
112	3104	5137
113	3109	5073
114	3115	5011
115	3122	4952
116	3127	4892
117	3136	4836
118	3155	4799
119	3188	4783
120	3198	4732
121	3268	4768
122	3347	4816
123	3398	4824
124	3404	4766
125	3440	4750
126	3455	4707
127	3467	4659
128	3486	4621
129	3524	4608
130	3576	4613
131	3579	4555
132	3684	4626
133	3693	4575
134	3704	4528
135	3714	4478
136	3720	4426
137	3726	4374
138	3736	4327
139	3740	4274
140	3745	4223
141	3749	4172
142	3755	4122
143	3760	4074
144	3803	4065
145	3812	4021
146	3817	3973
147	3823	3926
148	3828	3879
149	3877	3877
150	3883148	4858	4923
149	4872	4872
150	48153	3959	3754
154	3964	3709
155	3973	3667
156	4065	3702
157	4074	3661
158	4080	3618
159	4104157	50160	4112158	50161	4180	3561
162	4186	3518
163	4193	3477
164	4200	3436
165	4204	3394
166	4211164	52167	4297	3376
168	4379	3395
169	4400167	53170	4548	3431
171	4550	3386
172	4556	3344
173	4576	3313
174	4582	3272
175	4587	3232
176	4592174	55177	4654175	55178	4716	3188
179	4800	3200
180	4806	3159
181	4813	3120
182	4821	3082
183	4841	3052
184	4851	3016
185	4859	2978
186	4866	2940
187	4913	2927
188	4957	2911
189	5048	2922
190	5054	2884
191	5059	2845
192	5070	2811
193	5087	2780
194	5097	2744
195	5158	2737
196	5187	2712
197	5193195	62198	5295	2687
199	5301	2650
200	5307198	62201	5313199	6253	3126
200	62203	5372201	63204	5377	2492
205	5383	2456
206	5430	2439
207	5440	2406
208	5500	2395
209	5555	2381
210	5561	2345
211	5577	2315
212	5602	2288
213	5609	2254
214	5613	2219
215	5618	2185
216	5629	2153
217	5636	2120
218	5654	2091
219	5656	2056
220	5659	2022
221	5662	1989
222	5667	1957
223	5754221	6730	2364
222	6735	2325
223	6814	2312
224	6818	2272
225	6824	2234
226	6850	2203
227	6855	2164
228	6859	2126
229	6972	2122
230	6974	2083
231	6978	2045
232	6982	2007
233	6985	1970
234	6989	1933
235	6995	1896
236	7098	1886
237	7101	1849
238	7114	1815
239	7120	1780
240	7125	1744
241	7133	1709
242	7138	1674
243	7142	1639
244	7145	1604
245	7147	1569
246	7150	1534
247	7152	1499
248	7154	1465
249	7156	1431
250	7157	1397
251	7159	1363
252	7161	1330
253	7163	1297
254	7165	1264
255	7167	1231
256	7169	1199
257	260	6293	940
261	6302	914
262	6306	887
263	6367	868
264	6371	841
265	6375	814
266	6378	788
267	6382	762
268	6386	735
269	6391	710
270	6396	684
271	6401	658
272	6406	633
273	6412	608
274	6418	583
275	6426	558
27273	7366	6927274	7380	67278	6542	492
279	6545	467
280	6559	443
281	6564	419
282	6569	394
283	6579	370
284	6584	346
285	6591	322
286	6780	307
287	6792	283
288	6802	258
289	6916	238
290	6919	213
291	6924	189
292	6931	165
293	6935	141
294	6940	117
295	6998	94
296	7000	70
297	7003	47
298	7005	23
299	7022	0
890	79
297	7919	53
298	7921	26
299	7922	0
